1;126.865073,37.574982 126.867789,37.573421 126.869371,37.572503 126.871237,37.571433 126.872217,37.570878 126.873776,37.569996 126.87721,37.568028 126.884128,37.564059 126.88711,37.562346
1;126.884291,37.564308 126.883286,37.564899 126.882564,37.565318 126.879972,37.566822 126.877401,37.568299 126.872781,37.570974 126.871177,37.57189 126.868275,37.573642 126.868009,37.573894 126.867431,37.574304 126.867247,37.574427
2;126.881019,37.577438 126.876796,37.579931 126.876279,37.580265
1;126.876211,37.580199 126.87673,37.579863 126.880954,37.57737
0;126.878567,37.581451 126.879185,37.580876 126.879339,37.580762 126.879593,37.580521 126.879664,37.580469
1;126.878638,37.581443 126.881553,37.582979 126.882068,37.583244
0;126.879415,37.580823 126.879263,37.580935 126.878649,37.581506
3;126.878579,37.581514 126.876737,37.580548 126.876215,37.580267
1;126.876276,37.580197 126.876797,37.580478 126.878638,37.581443
1;126.882009,37.583316 126.881494,37.583051 126.878579,37.581514
1;126.888126,37.573002 126.888355,37.572773 126.889413,37.57135 126.889699,37.570998 126.890681,37.569967 126.891201,37.569482 126.892018,37.568766 126.893146,37.567941 126.893587,37.56763
1;126.893659,37.567694 126.893218,37.568004 126.892094,37.568827 126.891282,37.569538 126.890765,37.570021 126.889787,37.571047 126.889505,37.571394 126.888444,37.572821 126.888211,37.573055
1;126.898787,37.573423 126.898606,37.573247 126.898588,37.573231 126.898557,37.573221 126.8985,37.57318 126.898435,37.57313 126.89813,37.572818 126.896972,37.571532 126.896159,37.570654 126.895412,37.569872 126.895202,37.569491 126.895101,37.569374 126.894558,37.568752 126.894458,37.568649 126.894008,37.568175 126.893579,37.567686
0;126.887918,37.579809 126.888781,37.580665 126.889425,37.581287 126.890252,37.582085
0;126.890169,37.58214 126.889342,37.581342 126.888697,37.580719 126.887833,37.579863
1;126.886488,37.574212 126.883774,37.575822 126.881019,37.577438
1;126.880955,37.57737 126.88371,37.575754 126.886424,37.574143
1;126.894801,37.575803 126.893959,37.576316 126.893374,37.576665 126.892954,37.576903 126.892399,37.577207
1;126.892338,37.577137 126.892892,37.576833 126.89331,37.576596 126.893894,37.576248 126.894735,37.575735
0;126.89006,37.574851 126.890956,37.574286 126.891242,37.574163 126.891431,37.574088 126.891639,37.574035 126.89184,37.574002 126.892098,37.57399 126.892317,37.573995 126.892504,37.574012 126.892648,37.574041 126.892817,37.574083 126.893,37.57415 126.893182,37.574221 126.89339,37.574347 126.893546,37.574455 126.894235,37.575142 126.894811,37.575743
0;126.894725,37.575795 126.89415,37.575194 126.893468,37.574514 126.893322,37.574413 126.893125,37.574294 126.892953,37.574227 126.892779,37.574163 126.892618,37.574123 126.892485,37.574096 126.892309,37.57408 126.892099,37.574075 126.891855,37.574087 126.891667,37.574118 126.891472,37.574168 126.891292,37.574239 126.891016,37.574358 126.890127,37.574918
3;126.890136,37.574858 126.891702,37.576446 126.89241,37.577145
1;126.892326,37.577199 126.891618,37.576499 126.890051,37.574911
1;126.890632,37.578253 126.887908,37.57987
1;126.887843,37.579802 126.890567,37.578185
0;126.88723,37.579078 126.887919,37.579811
0;126.887832,37.579862 126.887144,37.579129
0;126.890557,37.578246 126.8899,37.577596 126.888325,37.576048
0;126.888409,37.575995 126.889984,37.577543 126.890642,37.578192
0;126.888401,37.576054 126.887868,37.576404 126.887715,37.576561 126.887657,37.576661 126.887638,37.576781 126.887628,37.576925 126.887644,37.577126 126.887674,37.577343 126.887664,37.577507 126.887656,37.577806 126.887653,37.577875 126.887558,37.578235 126.887336,37.578626 126.88725,37.578764 126.887217,37.578831 126.887185,37.578883 126.887156,37.578921
1;126.884912,37.581521 126.885928,37.580915 126.886871,37.580377 126.887843,37.579802
1;126.887908,37.57987 126.886934,37.580446 126.885992,37.580983 126.884977,37.581589
0;126.886986,37.579098 126.886859,37.579231 126.886601,37.579395 126.886167,37.579663 126.8852,37.580232 126.884607,37.580591 126.884501,37.580638 126.884415,37.580678
0;126.884156,37.580667 126.884196,37.580654 126.884365,37.580602 126.884448,37.580564 126.884548,37.58052 126.885135,37.580164 126.886102,37.579595 126.886534,37.579328 126.886781,37.579171 126.8869,37.579046
2;126.884977,37.581589 126.883957,37.582196 126.882477,37.583074 126.882071,37.583314
1;126.882006,37.583246 126.882412,37.583005 126.883893,37.582127 126.884912,37.581521
0;126.888325,37.576048 126.887296,37.575053 126.886414,37.574204
0;126.886498,37.57415 126.88738,37.574999 126.888408,37.575994
1;126.888206,37.57306 126.887868,37.573318 126.88649,37.57421
1;126.886422,37.574144 126.887796,37.573254 126.888131,37.572998
0;126.890128,37.574918 126.88919,37.575517 126.888402,37.576054
0;126.888332,37.575989 126.889121,37.575451 126.89006,37.574851
