2;126.881019,37.577438 126.876796,37.579931 126.876279,37.580265
1;126.876211,37.580199 126.87673,37.579863 126.880954,37.57737
0;126.878567,37.581451 126.879185,37.580876 126.879339,37.580762 126.879593,37.580521 126.879664,37.580469
1;126.878638,37.581443 126.881553,37.582979 126.882068,37.583244
1;126.876711,37.5859 126.876621,37.585622 126.876478,37.585182 126.876091,37.583245 126.875805,37.581991
1;126.875911,37.581976 126.876197,37.583231 126.876583,37.585165 126.876726,37.585601 126.876815,37.585879
0;126.877008,37.590021 126.876781,37.589824 126.876659,37.589614 126.876512,37.589393 126.876492,37.589361 126.876469,37.589325 126.87641,37.589129 126.876378,37.588786 126.876286,37.587003 126.87629,37.5864 126.876319,37.586195 126.876341,37.586053 126.876357,37.586016 126.876382,37.585983 126.876402,37.585964 126.876441,37.585941 126.876501,37.585917 126.876745,37.585849
0;126.876781,37.58593 126.876543,37.585995 126.876499,37.586013 126.876477,37.586027 126.876469,37.586034 126.876455,37.586053 126.876446,37.586073 126.876426,37.586205 126.876398,37.586405 126.876394,37.587001 126.876485,37.588781 126.876517,37.589116 126.876571,37.589295 126.876589,37.589323 126.876608,37.589354 126.876755,37.589576 126.876872,37.589776 126.877088,37.589964
0;126.879415,37.580823 126.879263,37.580935 126.878649,37.581506
3;126.878579,37.581514 126.876737,37.580548 126.876215,37.580267
1;126.876276,37.580197 126.876797,37.580478 126.878638,37.581443
1;126.882009,37.583316 126.881494,37.583051 126.878579,37.581514
2;126.879365,37.584954 126.879125,37.585102 126.878848,37.585276 126.878474,37.585422 126.878133,37.585541 126.877591,37.585719 126.877348,37.585781 126.877293,37.585792 126.877187,37.58582 126.877087,37.585845 126.87678,37.58593
3;126.876745,37.585849 126.877053,37.585764 126.877153,37.585739 126.877262,37.58571 126.877317,37.585699 126.877554,37.585639 126.878091,37.585463 126.878428,37.585345 126.87879,37.585203 126.879059,37.585035 126.879299,37.584887
